key,slug,owner,status,sources
home,/,Marketing,public,lukhas_website/app/page.tsx
careers,/careers,People & Culture,public,lukhas_website/app/careers/page.tsx
privacy,/privacy,Legal & Compliance,public,lukhas_website/app/privacy/page.tsx
terms,/terms,Legal & Compliance,public,lukhas_website/app/terms/page.tsx
vision,/vision,Leadership,public,lukhas_website/app/vision/page.tsx
compliance,/compliance,Legal & Compliance,public,lukhas_website/app/compliance/page.tsx
experience,/experience,Product,public,lukhas_website/app/experience/page.tsx
simple,/simple,UX,candidate,lukhas_website/app/simple/page.tsx
test,/test,Engineering,candidate,lukhas_website/app/test/page.tsx
